"Metric","N_pairs","guided_med","flat_med","p"
"AUC24 (all)",103,"27.69 (18.21-38.76)","39.26 (28.87-67.44)",2.62e-07
"AUC24 (Slow)",42,"17.02 (13.56-19.16)","68.93 (55.08-78.06)",1.71e-08
"AUC24 (Intermediate)",45,"35.00 (28.89-41.78)","35.00 (28.89-41.78)",NA
"AUC24 (Rapid)",16,"49.24 (44.64-56.94)","23.51 (21.65-27.14)",0.000482
"Cmax (Slow)",42,"3.29 (2.78-3.63)","10.13 (8.56-11.20)",1.71e-08
"Cmax (Intermediate)",45,"9.50 (7.84-10.71)","9.50 (7.84-10.71)",NA
"Cmax (Rapid)",16,"15.09 (12.94-17.10)","8.78 (7.55-9.92)",0.000482
"C24 (Slow)",42,"0.04 (0.02-0.06)","0.22 (0.11-0.32)",1.71e-08
"C24 (Intermediate)",45,"0.02 (0.01-0.03)","0.02 (0.01-0.03)",NA
"C24 (Rapid)",16,"0.02 (0.02-0.02)","0.01 (0.01-0.01)",0.000482
