draw,Phenotype,logic,dose
0,Slow,AUC_match,550
0,Slow,C24_match,200
0,Slow,C24_ceiling,200
0,Intermediate,AUC_match,1200
0,Intermediate,C24_match,1800
0,Intermediate,C24_ceiling,1800
0,Rapid,AUC_match,1050
0,Rapid,C24_match,1750
0,Rapid,C24_ceiling,1800
1,Slow,AUC_match,650
1,Slow,C24_match,200
1,Slow,C24_ceiling,350
1,Intermediate,AUC_match,1150
1,Intermediate,C24_match,700
1,Intermediate,C24_ceiling,1800
1,Rapid,AUC_match,1600
1,Rapid,C24_match,1800
1,Rapid,C24_ceiling,1800
2,Slow,AUC_match,650
2,Slow,C24_match,200
2,Slow,C24_ceiling,300
2,Intermediate,AUC_match,1100
2,Intermediate,C24_match,500
2,Intermediate,C24_ceiling,1800
2,Rapid,AUC_match,1550
2,Rapid,C24_match,1350
2,Rapid,C24_ceiling,1800
3,Slow,AUC_match,1800
3,Slow,C24_match,250
3,Slow,C24_ceiling,1800
3,Intermediate,AUC_match,1800
3,Intermediate,C24_match,450
3,Intermediate,C24_ceiling,1800
3,Rapid,AUC_match,1800
3,Rapid,C24_match,500
3,Rapid,C24_ceiling,1800
4,Slow,AUC_match,650
4,Slow,C24_match,200
4,Slow,C24_ceiling,350
4,Intermediate,AUC_match,1250
4,Intermediate,C24_match,1250
4,Intermediate,C24_ceiling,1800
4,Rapid,AUC_match,1250
4,Rapid,C24_match,1300
4,Rapid,C24_ceiling,1800
5,Slow,AUC_match,600
5,Slow,C24_match,200
5,Slow,C24_ceiling,300
5,Intermediate,AUC_match,1150
5,Intermediate,C24_match,600
5,Intermediate,C24_ceiling,1800
5,Rapid,AUC_match,1300
5,Rapid,C24_match,900
5,Rapid,C24_ceiling,1800
6,Slow,AUC_match,600
6,Slow,C24_match,200
6,Slow,C24_ceiling,250
6,Intermediate,AUC_match,1300
6,Intermediate,C24_match,750
6,Intermediate,C24_ceiling,1800
6,Rapid,AUC_match,1800
6,Rapid,C24_match,1800
6,Rapid,C24_ceiling,1800
7,Slow,AUC_match,650
7,Slow,C24_match,200
7,Slow,C24_ceiling,450
7,Intermediate,AUC_match,1150
7,Intermediate,C24_match,1050
7,Intermediate,C24_ceiling,1800
7,Rapid,AUC_match,1150
7,Rapid,C24_match,950
7,Rapid,C24_ceiling,1800
8,Slow,AUC_match,700
8,Slow,C24_match,200
8,Slow,C24_ceiling,600
8,Intermediate,AUC_match,1200
8,Intermediate,C24_match,1800
8,Intermediate,C24_ceiling,1800
8,Rapid,AUC_match,1250
8,Rapid,C24_match,1800
8,Rapid,C24_ceiling,1800
9,Slow,AUC_match,550
9,Slow,C24_match,200
9,Slow,C24_ceiling,300
9,Intermediate,AUC_match,1250
9,Intermediate,C24_match,1800
9,Intermediate,C24_ceiling,1800
9,Rapid,AUC_match,1800
9,Rapid,C24_match,1800
9,Rapid,C24_ceiling,1800
10,Slow,AUC_match,550
10,Slow,C24_match,200
10,Slow,C24_ceiling,300
10,Intermediate,AUC_match,1200
10,Intermediate,C24_match,1800
10,Intermediate,C24_ceiling,1800
10,Rapid,AUC_match,1800
10,Rapid,C24_match,1800
10,Rapid,C24_ceiling,1800
11,Slow,AUC_match,550
11,Slow,C24_match,200
11,Slow,C24_ceiling,200
11,Intermediate,AUC_match,1100
11,Intermediate,C24_match,1800
11,Intermediate,C24_ceiling,1800
11,Rapid,AUC_match,1800
11,Rapid,C24_match,1800
11,Rapid,C24_ceiling,1800
12,Slow,AUC_match,700
12,Slow,C24_match,200
12,Slow,C24_ceiling,550
12,Intermediate,AUC_match,1350
12,Intermediate,C24_match,1800
12,Intermediate,C24_ceiling,1800
12,Rapid,AUC_match,1650
12,Rapid,C24_match,1800
12,Rapid,C24_ceiling,1800
13,Slow,AUC_match,850
13,Slow,C24_match,550
13,Slow,C24_ceiling,1400
13,Intermediate,AUC_match,1300
13,Intermediate,C24_match,1800
13,Intermediate,C24_ceiling,1800
13,Rapid,AUC_match,1700
13,Rapid,C24_match,1800
13,Rapid,C24_ceiling,1800
14,Slow,AUC_match,650
14,Slow,C24_match,200
14,Slow,C24_ceiling,350
14,Intermediate,AUC_match,1150
14,Intermediate,C24_match,750
14,Intermediate,C24_ceiling,1800
14,Rapid,AUC_match,850
14,Rapid,C24_match,250
14,Rapid,C24_ceiling,900
15,Slow,AUC_match,600
15,Slow,C24_match,200
15,Slow,C24_ceiling,250
15,Intermediate,AUC_match,1350
15,Intermediate,C24_match,950
15,Intermediate,C24_ceiling,1800
15,Rapid,AUC_match,1800
15,Rapid,C24_match,1800
15,Rapid,C24_ceiling,1800
16,Slow,AUC_match,550
16,Slow,C24_match,200
16,Slow,C24_ceiling,250
16,Intermediate,AUC_match,1050
16,Intermediate,C24_match,1800
16,Intermediate,C24_ceiling,1800
16,Rapid,AUC_match,1250
16,Rapid,C24_match,1800
16,Rapid,C24_ceiling,1800
17,Slow,AUC_match,600
17,Slow,C24_match,200
17,Slow,C24_ceiling,350
17,Intermediate,AUC_match,1150
17,Intermediate,C24_match,800
17,Intermediate,C24_ceiling,1800
17,Rapid,AUC_match,1000
17,Rapid,C24_match,500
17,Rapid,C24_ceiling,1800
18,Slow,AUC_match,500
18,Slow,C24_match,200
18,Slow,C24_ceiling,200
18,Intermediate,AUC_match,1150
18,Intermediate,C24_match,600
18,Intermediate,C24_ceiling,1800
18,Rapid,AUC_match,1800
18,Rapid,C24_match,1800
18,Rapid,C24_ceiling,1800
19,Slow,AUC_match,750
19,Slow,C24_match,200
19,Slow,C24_ceiling,600
19,Intermediate,AUC_match,1300
19,Intermediate,C24_match,950
19,Intermediate,C24_ceiling,1800
19,Rapid,AUC_match,1200
19,Rapid,C24_match,700
19,Rapid,C24_ceiling,1800
20,Slow,AUC_match,550
20,Slow,C24_match,200
20,Slow,C24_ceiling,200
20,Intermediate,AUC_match,1100
20,Intermediate,C24_match,850
20,Intermediate,C24_ceiling,1800
20,Rapid,AUC_match,950
20,Rapid,C24_match,450
20,Rapid,C24_ceiling,1700
21,Slow,AUC_match,550
21,Slow,C24_match,200
21,Slow,C24_ceiling,300
21,Intermediate,AUC_match,1150
21,Intermediate,C24_match,1800
21,Intermediate,C24_ceiling,1800
21,Rapid,AUC_match,1800
21,Rapid,C24_match,1800
21,Rapid,C24_ceiling,1800
22,Slow,AUC_match,700
22,Slow,C24_match,200
22,Slow,C24_ceiling,650
22,Intermediate,AUC_match,1300
22,Intermediate,C24_match,1000
22,Intermediate,C24_ceiling,1800
22,Rapid,AUC_match,1550
22,Rapid,C24_match,1550
22,Rapid,C24_ceiling,1800
23,Slow,AUC_match,500
23,Slow,C24_match,200
23,Slow,C24_ceiling,200
23,Intermediate,AUC_match,1100
23,Intermediate,C24_match,650
23,Intermediate,C24_ceiling,1800
23,Rapid,AUC_match,1600
23,Rapid,C24_match,1800
