Phenotype,Dose_mg,AUC_med,AUC_q1,AUC_q3,C24_med,C24_q1,C24_q3,pct_in_auc_target,pct_in_c24_target,pct_in_dual_target,pct_supra
Slow,200,14.41179810970406,9.601880938149598,18.716691473421406,0.086344889808633,0.02206043569839013,0.15201875379481974,1.9,6.75,0.0,26.700000000000003
Slow,250,18.01474763713008,12.002351172686998,23.395864341776758,0.10793111226079126,0.027575544622987665,0.1900234422435247,16.0,5.0,0.0,37.85
Slow,300,21.617697164556095,14.402821407224398,28.075037210132106,0.1295173347129495,0.03309065354758519,0.2280281306922296,39.550000000000004,10.35,0.0,44.55
Slow,350,25.22064669198211,16.8032916417618,32.75421007848746,0.15110355716510776,0.03860576247218273,0.2660328191409346,52.0,11.05,0.0,51.05
Slow,400,28.82359621940812,19.203761876299197,37.43338294684281,0.172689779617266,0.04412087139678026,0.3040375075896395,65.14999999999999,10.7,0.0,51.05
Slow,450,32.42654574683414,21.6042321108366,42.112555815198164,0.19427600206942425,0.049635980321377796,0.34204219603834446,65.75,10.7,0.0,53.949999999999996
Slow,500,36.02949527426016,24.004702345373996,46.791728683553515,0.21586222452158252,0.05515108924597533,0.3800468844870494,59.5,7.1,0.0,53.949999999999996
Slow,550,39.63244480168617,26.405172579911397,51.47090155190886,0.23744844697374076,0.06066619817057286,0.4180515729357543,60.650000000000006,7.1,0.0,56.2
Slow,600,43.23539432911219,28.805642814448795,56.15007442026421,0.259034669425899,0.06618130709517038,0.4560562613844592,58.8,4.25,0.0,61.3
Slow,650,46.8383438565382,31.206113048986204,60.82924728861957,0.2806208918780573,0.07169641601976794,0.4940609498331643,49.5,4.25,0.0,64.0
Slow,700,50.44129338396422,33.6065832835236,65.50842015697492,0.3022071143302155,0.07721152494436546,0.5320656382818691,46.550000000000004,1.7500000000000002,0.0,66.3
Slow,750,54.044242911390235,36.007053518061,70.18759302533027,0.32379333678237376,0.08272663386896299,0.570070326730574,45.75,1.7500000000000002,1.7500000000000002,70.5
Slow,800,57.64719243881624,38.407523752598394,74.86676589368562,0.345379559234532,0.08824174279356052,0.608075015179279,38.45,1.7500000000000002,1.7500000000000002,70.5
Slow,850,61.25014196624227,40.807993987135795,79.54593876204099,0.3669657816866903,0.09375685171815806,0.646079703627984,32.6,0.0,0.0,70.5
Slow,900,64.85309149366827,43.2084642216732,84.22511163039633,0.3885520041388485,0.09927196064275559,0.6840843920766889,32.6,0.0,0.0,70.5
Slow,950,68.4560410210943,45.6089344562106,88.90428449875166,0.4101382265910068,0.10478706956735312,0.7220890805253938,32.6,0.0,0.0,70.5
Slow,1000,72.05899054852031,48.00940469074799,93.58345736710703,0.43172444904316504,0.11030217849195066,0.7600937689740987,30.099999999999998,0.0,0.0,73.0
Slow,1050,75.66194007594632,50.4098749252854,98.26263023546238,0.4533106714953233,0.11581728741654819,0.7980984574228038,27.6,0.0,0.0,73.0
Slow,1100,79.26488960337234,52.810345159822795,102.94180310381772,0.4748968939474815,0.12133239634114572,0.8361031458715086,24.9,0.0,0.0,73.0
Slow,1150,82.86783913079834,55.21081539436019,107.62097597217308,0.4964831163996397,0.12684750526574323,0.8741078343202134,19.35,0.0,0.0,73.0
Slow,1200,86.47078865822438,57.61128562889759,112.30014884052842,0.518069338851798,0.13236261419034076,0.9121125227689184,19.35,0.0,0.0,73.0
Slow,1250,90.07373818565038,60.011755863435,116.97932170888379,0.5396555613039563,0.13787772311493832,0.9501172112176235,10.9,0.0,0.0,73.0
Slow,1300,93.6766877130764,62.41222609797241,121.65849457723914,0.5612417837561146,0.14339283203953587,0.9881218996663286,8.75,0.0,0.0,73.0
Slow,1350,97.27963724050244,64.8126963325098,126.3376674455945,0.5828280062082728,0.1489079409641334,1.0261265881150332,11.0,0.0,0.0,73.0
Slow,1400,100.88258676792844,67.2131665670472,131.01684031394984,0.604414228660431,0.15442304988873093,1.0641312765637383,6.5,0.0,0.0,75.7
Slow,1450,104.48553629535445,69.61363680158459,135.6960131823052,0.6260004511125893,0.15993815881332846,1.1021359650124432,6.5,0.0,0.0,75.7
Slow,1500,108.08848582278047,72.014107036122,140.37518605066055,0.6475866735647475,0.16545326773792599,1.140140653461148,6.5,0.0,0.0,75.7
Slow,1550,111.69143535020648,74.4145772706594,145.05435891901587,0.6691728960169058,0.1709683766625235,1.1781453419098529,2.25,0.0,0.0,77.8
Slow,1600,115.29438487763248,76.81504750519679,149.73353178737125,0.690759118469064,0.17648348558712104,1.216150030358558,2.25,0.0,0.0,77.8
Slow,1650,118.8973344050585,79.2155177397342,154.41270465572657,0.7123453409212223,0.18199859451171857,1.2541547188072628,2.25,0.0,0.0,77.8
Slow,1700,122.50028393248454,81.61598797427159,159.09187752408198,0.7339315633733806,0.18751370343631613,1.292159407255968,2.25,0.0,0.0,80.30000000000001
Slow,1750,126.10323345991054,84.016458208809,163.7710503924373,0.7555177858255387,0.19302881236091365,1.3301640957046728,2.25,0.0,0.0,80.30000000000001
Slow,1800,129.70618298733655,86.4169284433464,168.45022326079265,0.777104008277697,0.19854392128551118,1.3681687841533778,2.25,0.0,0.0,80.30000000000001
Intermediate,200,8.731933267213508,5.451670916185003,12.030834547872093,0.008915077720321794,0.002728899666204808,0.026933836788464772,2.5,12.7,0.0,0.0
Intermediate,250,10.914916584016884,6.814588645231254,15.038543184840117,0.011143847150402243,0.00341112458275601,0.033667295985580964,4.95,6.9,0.0,7.85
Intermediate,300,13.097899900820261,8.177506374277504,18.04625182180814,0.013372616580482692,0.0040933494993072115,0.04040075518269716,7.85,19.15,0.0,9.85
Intermediate,350,15.28088321762364,9.540424103323756,21.053960458776164,0.015601386010563142,0.004775574415858415,0.047134214379813355,17.549999999999997,19.15,0.0,9.85
Intermediate,400,17.463866534427016,10.903341832370007,24.061669095744186,0.017830155440643588,0.005457799332409616,0.053867673576929544,19.8,19.15,0.0,12.8
Intermediate,450,19.646849851230396,12.266259561416259,27.06937773271221,0.020058924870724037,0.006140024248960819,0.060601132774045746,27.650000000000002,16.5,0.0,12.8
Intermediate,500,21.82983316803377,13.629177290462508,30.077086369680234,0.022287694300804486,0.00682224916551202,0.06733459197116193,29.65,6.4,0.0,15.5
Intermediate,550,24.01281648483715,14.992095019508762,33.08479500664826,0.024516463730884935,0.007504474082063222,0.07406805116827814,38.25,6.7,0.0,15.5
Intermediate,600,26.195799801640522,16.35501274855501,36.09250364361628,0.026745233160965384,0.008186698998614423,0.08080151036539432,50.9,6.7,0.0,15.5
Intermediate,650,28.378783118443906,17.71793047760126,39.10021228058431,0.028974002591045836,0.008868923915165628,0.08753496956251053,53.1,6.2,0.0,15.5
Intermediate,700,30.56176643524728,19.080848206647513,42.10792091755233,0.031202772021126285,0.00955114883171683,0.09426842875962671,55.60000000000001,8.200000000000001,2.1999999999999997,15.5
Intermediate,750,32.74474975205065,20.443765935693765,45.115629554520346,0.033431541451206734,0.01023337374826803,0.1010018879567429,50.2,6.0,2.3,15.5
Intermediate,800,34.92773306885403,21.806683664740014,48.12333819148837,0.035660310881287176,0.010915598664819231,0.10773534715385909,52.2,8.7,4.3,17.549999999999997
