Phenotype,Dose_mg,AUC_med,AUC_q1,AUC_q3,C24_med,C24_q1,C24_q3,pct_in_auc_target,pct_in_c24_target,pct_in_dual_target,pct_supra
Slow,200,11.821589601352755,9.746930820375242,14.289328357084186,0.03349388343939616,0.018873045972003538,0.059286818943129774,0.8,19.650000000000002,0.0,2.35
Slow,250,14.776987001690944,12.183663525469054,17.86166044635523,0.04186735429924521,0.023591307465004423,0.07410852367891221,4.35,14.649999999999999,0.0,4.95
Slow,300,17.732384402029133,14.620396230562864,21.43399253562628,0.05024082515909424,0.028309568958005307,0.08893022841469467,14.549999999999999,9.950000000000001,0.0,8.3
Slow,350,20.687781802367326,17.057128935656678,25.006324624897328,0.05861429601894329,0.033027830451006185,0.10375193315047711,31.75,7.049999999999999,0.0,12.7
Slow,400,23.64317920270551,19.493861640750485,28.57865671416837,0.06698776687879232,0.037746091944007076,0.11857363788625955,49.25,4.95,0.0,16.400000000000002
Slow,450,26.598576603043703,21.9305943458443,32.15098880343942,0.07536123773864137,0.04246435343700796,0.133395342622042,64.2,3.75,0.0,20.200000000000003
Slow,500,29.55397400338189,24.36732705093811,35.72332089271046,0.08373470859849041,0.047182614930008845,0.14821704735782443,74.75,3.05,0.0,24.8
Slow,550,32.50937140372008,26.804059756031922,39.29565298198151,0.09210817945833946,0.05190087642300972,0.16303875209360688,81.45,2.15,0.05,28.299999999999997
Slow,600,35.46476880405827,29.24079246112573,42.86798507125256,0.10048165031818848,0.056619137916010615,0.17786045682938934,81.75,2.15,0.05,32.0
Slow,650,38.420166204396466,31.677525166219546,46.440317160523605,0.10885512117803754,0.06133739940901149,0.19268216156517182,79.95,2.0500000000000003,0.25,35.099999999999994
Slow,700,41.37556360473465,34.114257871313356,50.012649249794656,0.11722859203788658,0.06605566090201237,0.20750386630095422,74.2,2.0,0.65,38.65
Slow,750,44.33096100507284,36.55099057640716,53.584981339065706,0.12560206289773562,0.07077392239501326,0.22232557103673667,66.25,1.6,0.5499999999999999,41.5
Slow,800,47.28635840541102,38.98772328150097,57.15731342833674,0.13397553375758464,0.07549218388801415,0.2371472757725191,58.95,1.25,0.44999999999999996,45.35
Slow,850,50.24175580574922,41.42445598659479,60.7296455176078,0.14234900461743372,0.08021044538101504,0.2519689805083016,50.64999999999999,1.25,0.65,47.75
Slow,900,53.19715320608741,43.8611886916886,64.30197760687884,0.15072247547728274,0.08492870687401592,0.266790685244084,43.9,1.15,0.8,50.2
Slow,950,56.15255060642559,46.29792139678241,67.87430969614988,0.15909594633713178,0.0896469683670168,0.28161238997986643,36.85,1.05,0.8999999999999999,52.800000000000004
Slow,1000,59.10794800676378,48.73465410187622,71.44664178542092,0.16746941719698083,0.09436522986001769,0.29643409471564885,29.849999999999998,1.05,1.0,55.45
Slow,1050,62.06334540710197,51.171386806970034,75.01897387469198,0.17584288805682988,0.09908349135301855,0.31125579945143134,23.549999999999997,1.0,1.0,57.3
Slow,1100,65.01874280744016,53.608119512063844,78.59130596396302,0.18421635891667892,0.10380175284601945,0.32607750418721376,19.15,0.8999999999999999,0.8999999999999999,59.050000000000004
Slow,1150,67.97414020777835,56.044852217157654,82.16363805323407,0.19258982977652794,0.10852001433902032,0.3408992089229962,15.1,0.6,0.6,61.75000000000001
Slow,1200,70.92953760811653,58.48158492225146,85.73597014250512,0.20096330063637696,0.11323827583202123,0.35572091365877867,11.700000000000001,0.5,0.5,64.0
Slow,1250,73.88493500845473,60.918317627345274,89.30830223177617,0.20933677149622604,0.1179565373250221,0.3705426183945611,9.1,0.4,0.4,66.45
Slow,1300,76.84033240879293,63.35505033243909,92.88063432104721,0.21771024235607508,0.12267479881802298,0.38536432313034363,7.199999999999999,0.3,0.3,67.80000000000001
Slow,1350,79.79572980913112,65.7917830375329,96.45296641031827,0.22608371321592413,0.12739306031102388,0.400186027866126,5.8500000000000005,0.25,0.25,69.19999999999999
Slow,1400,82.7511272094693,68.22851574262671,100.02529849958931,0.23445718407577315,0.13211132180402474,0.41500773260190843,4.55,0.2,0.2,70.85000000000001
Slow,1450,85.7065246098075,70.66524844772053,103.59763058886035,0.2428306549356222,0.13682958329702563,0.42982943733769086,3.5000000000000004,0.2,0.2,72.0
Slow,1500,88.66192201014567,73.10198115281432,107.16996267813141,0.25120412579547124,0.14154784479002652,0.44465114207347334,2.85,0.25,0.25,72.95
Slow,1550,91.61731941048384,75.53871385790814,110.74229476740244,0.2595775966553202,0.14626610628302741,0.4594728468092557,2.25,0.25,0.25,74.25
Slow,1600,94.57271681082204,77.97544656300194,114.31462685667348,0.2679510675151693,0.1509843677760283,0.4742945515450382,1.95,0.25,0.25,75.14999999999999
