Phenotype,Dose_mg,AUC_med,AUC_q1,AUC_q3,C24_med,C24_q1,C24_q3,pct_in_auc_target,pct_in_c24_target,pct_in_dual_target,pct_supra
Slow,200,10.189285808392423,8.480741108839995,12.500647869022618,0.02224975057850377,0.013429993005775045,0.0375352099667006,0.15,29.099999999999998,0,0.3
Slow,250,13.131725197030637,10.897651584614696,16.136264808575156,0.029220272876378087,0.017570440552359297,0.04944239335670027,2.5,23,0,1
Slow,300,16.245641231776915,13.472443787042632,19.983968287182947,0.03666616830090504,0.021954420223281538,0.0627646464947057,11,17.299999999999997,0,2.5
Slow,350,19.500579064438526,16.13771071313136,24.049502760761186,0.044973523975029336,0.026748249749704807,0.0768490271558411,26.85,11.799999999999999,0,5.35
Slow,400,22.937651420975996,18.96298695386104,28.31559988004518,0.053834780037421426,0.03188921262904919,0.09222281295770185,45.7,8.35,0.1,9.5
Slow,450,26.526281445053325,21.898926936727392,32.7880682267462,0.06358118166219266,0.03746970936445053,0.10921814604852653,63.74999999999999,5.1,0.1,13.750000000000002
Slow,500,30.24030539780793,24.91726815617752,37.45302516144977,0.0740723559378983,0.04353456054572389,0.1271641267965057,73.85000000000001,3.25,0.2,19.1
Slow,550,34.15827117516776,28.09089989790582,42.31470687886311,0.08556400783226006,0.05007022664318642,0.14763233200938328,76.2,2,0.1,24.55
Slow,600,38.23862752271104,31.32197341101514,47.38866721232,0.0979648728998007,0.057091495941655,0.1702872612364429,74.8,1.5,0.2,29.7
Slow,650,42.44384055423323,34.67528612504169,52.647152697077274,0.11075574718478229,0.06442001800789628,0.19459257655074347,66.64999999999999,1.25,0.25,35
Slow,700,46.808498912534105,38.18633390779527,58.09054726129858,0.12452038689290004,0.07236113507808363,0.219898489981084,57.9,0.95,0.3,40.300000000000004
Slow,750,51.34075540560018,41.82445851847863,63.764217278112724,0.13978701489290118,0.08083229750136563,0.2482937464936193,47.599999999999994,0.8,0.4,45.75
Slow,800,55.998246209720165,45.62744053153136,69.52975927666975,0.1559239624967194,0.08982630073884745,0.28018434131779096,36.25,0.5,0.2,52.15
Slow,850,60.80991212828822,49.5461246736444,75.49901823243111,0.17369113762492389,0.09859171954609912,0.31327865499814267,27.250000000000004,0.35000000000000003,0.1,57.3
Slow,900,65.79402512909721,53.54292658231675,81.61876518885171,0.19304054346689914,0.108805767618774,0.34837114006312714,20.549999999999997,0.25,0.15,62.3
Slow,950,70.88844726309301,57.649201949597945,87.97933344868584,0.2129577868726807,0.11955584439673661,0.3852543981216569,15.9,0.2,0.15,66.3
Slow,1000,76.2404522366577,61.86260876821637,94.59186156478353,0.23444113194167132,0.13161132196699465,0.42739848634455746,11.75,0.1,0.1,69.85
Slow,1050,81.63811031174683,66.12554852788284,101.32121242420466,0.25774691450282683,0.14363336687652475,0.46955191907297106,8.649999999999999,0,0,73.6
Slow,1100,87.18796679367249,70.55341972669771,108.17038677399069,0.2835128406000923,0.15689113358230813,0.5176524443639381,6.1,0,0,76.6
Slow,1150,92.86109541643873,75.04424267696224,115.26737855959762,0.30999056706218875,0.17157706561305722,0.5704970964044562,4.8500000000000005,0,0,79.35
Slow,1200,98.58277174525719,79.68412021128611,122.45904075178915,0.33946473945796035,0.18635108954690166,0.6272575682134247,3.2,0,0,81.75
Slow,1250,104.54529986707746,84.41303021149909,129.92537311868296,0.3711919558243211,0.20211225240313335,0.6881391781403423,2.15,0,0,84.39999999999999
Slow,1300,110.62268710783479,89.23478552066192,137.36358760005754,0.402830391011989,0.21862231537453,0.7551217708327418,1.5,0,0,86.45
Slow,1350,116.85522919793478,94.16592914585746,144.99803378599506,0.43853339775391365,0.2367080215063697,0.8262088607190194,0.8999999999999999,0,0,88.25
Slow,1400,123.19706056233753,99.17349146676892,153.08230246174026,0.47715567514292134,0.2555314659165631,0.8970577339415304,0.8500000000000001,0,0,89.3
Slow,1450,129.8195147856738,104.29047026825285,160.98453474778688,0.5197595911704287,0.2763563655482584,0.9730594846361416,0.65,0,0,90.85
Slow,1500,136.5009575603375,109.5605575738597,169.15889484432995,0.5661520726032302,0.29678441225910185,1.0620375579866854,0.44999999999999996,0,0,92.15
Slow,1550,143.2503607051904,114.92161567685024,177.64621278740663,0.6121824841633219,0.31943026475582453,1.1552026652833562,0.35000000000000003,0,0,93.05
Slow,1600,150.124938015525,120.39320642295782,186.19378913124476,0.662991020816347,0.3436564410070009,1.2521563188665294,0.2,0,0,94.39999999999999
Slow,1650,157.0455761280482,126.08123090565493,194.80894740784248,0.7153989346834417,0.36796323931791936,1.3595283741189876,0.05,0,0,95.19999999999999
Slow,1700,164.31145527330085,131.88104652275987,203.68754684996097,0.7727349901676714,0.3964967662551623,1.4744734392828556,0,0,0,96
Slow,1750,171.67505006015043,137.73252754749072,212.64293874707226,0.8362333810333332,0.4252467097913145,1.584406274238542,0,0,0,96.65
Slow,1800,179.0641255524913,143.6860163614276,221.90325562754776,0.9020348061110717,0.45932197679032066,1.7094717236229415,0,0,0,97.15
Intermediate,200,5.496120446071341,4.446243757303991,6.848771921780861,0.0032672468498170003,0.0021573103613214285,0.004991741149332169,0,3.5000000000000004,0,0
Intermediate,250,7.095461373919084,5.710688297058811,8.852168893353465,0.004237265155806254,0.002787205923099116,0.006475187553386079,0,7.85,0,0
Intermediate,300,8.778797026318216,7.03773761118496,10.960188921420997,0.005272227001811486,0.003456815657276923,0.00805920411679328,0.1,12.7,0,0
Intermediate,350,10.555518639828072,8.43429275767637,13.20444388583435,0.006391012499189674,0.004175167158813919,0.009774933582044197,0.4,19.3,0,0
